任务类型,模型,实验次数,生成代码,代码执行状态,任务完成状态,响应时间(s)
基础任务,ChatGPT,1/3,"# 让无人机起飞
aw.takeoff()

# 降落无人机
aw.land()
",✅,✅,2.71
基础任务,ChatGPT,2/3,"# 让无人机起飞
aw.takeoff()

# 降落无人机
aw.land()
",✅,✅,1.93
基础任务,ChatGPT,3/3,"# 让无人机起飞
aw.takeoff()

# 降落无人机
aw.land()
",✅,✅,1.75
基础任务,ChatGPT,平均值,平均响应时间: 2.13s | 成功率: 100.0%,-,-,2.13
单点导航,ChatGPT,1/3,"# 获取涡轮机2的坐标
turbine2_position = aw.get_position(""turbine2"")

# 计算目标坐标
target_position = [
    turbine2_position[0] - 12,  # 沿 X 轴负方向移动 12 米
    turbine2_position[1],        # Y 坐标保持不变
    50                            # Z 坐标设置为 50 米
]

# 飞向目标坐标
aw.fly_to(target_position)
",✅,✅,4.51
单点导航,ChatGPT,2/3,"# 获取涡轮机2的坐标
turbine2_position = aw.get_position(""turbine2"")

# 计算目标坐标
target_position = [
    turbine2_position[0] - 12,  # 沿 X 轴负方向移动 12 米
    turbine2_position[1],        # Y 坐标保持不变
    50                            # Z 坐标设置为 50 米
]

# 飞向目标坐标
aw.fly_to(target_position)
",✅,✅,4.66
单点导航,ChatGPT,3/3,"# 获取涡轮机2的坐标
turbine2_position = aw.get_position(""turbine2"")

# 计算目标坐标
target_x = turbine2_position[0] - 12  # 沿 X 轴负方向移动 12 米
target_y = turbine2_position[1]        # Y 坐标保持不变
target_z = 50                           # 高度设置为 50 米

# 飞向目标坐标
aw.fly_to([target_x, target_y, target_z])
",✅,✅,5.1
单点导航,ChatGPT,平均值,平均响应时间: 4.76s | 成功率: 100.0%,-,-,4.76
路径规划,ChatGPT,1/3,"# 获取每个塔的坐标
tower3_position = aw.get_position(""tower3"")
tower2_position = aw.get_position(""tower2"")
tower1_position = aw.get_position(""tower1"")

# 计算无人机的目标坐标
# tower3
target1 = [tower3_position[0] - 10, tower3_position[1], 50]  # X轴负方向10米，Y轴保持不变，高度50米
# tower2
target2 = [tower2_position[0] - 10, tower2_position[1], 50]  # X轴负方向10米，Y轴保持不变，高度50米
# tower1
target3 = [tower1_position[0] - 10, tower1_position[1], 50]  # X轴负方向10米，Y轴保持不变，高度50米

# 创建路径
path = [target1, target2, target3]

# 沿着路径飞行
aw.fly_path(path)
",✅,✅,6.61
路径规划,ChatGPT,2/3,"# 获取每个塔的位置
tower3_position = aw.get_position(""tower3"")
tower2_position = aw.get_position(""tower2"")
tower1_position = aw.get_position(""tower1"")

# 计算无人机的目标位置
# 无人机在每个塔的 X 轴负方向 10 米，Y 轴保持不变，Z 轴为 50 米
drone_positions = [
    [tower3_position[0] - 10, tower3_position[1], 50],  # tower3
    [tower2_position[0] - 10, tower2_position[1], 50],  # tower2
    [tower1_position[0] - 10, tower1_position[1], 50]   # tower1
]

# 沿着计算出的路径飞行
aw.fly_path(drone_positions)
",✅,✅,6.25
