任务类型,模型,实验次数,生成代码,代码执行状态,任务完成状态,响应时间(s)
基础任务,DeepSeek,1/3,"# 让无人机起飞
aw.takeoff()

# 让无人机降落
aw.land()
",✅,✅,11.18
基础任务,DeepSeek,2/3,"# 让无人机起飞
aw.takeoff()

# 让无人机降落
aw.land()
",✅,✅,11.8
基础任务,DeepSeek,3/3,"# 让无人机起飞
aw.takeoff()

# 让无人机降落
aw.land()
",✅,✅,14.46
基础任务,DeepSeek,平均值,平均响应时间: 12.48s | 成功率: 100.0%,-,-,12.48
单点导航,DeepSeek,1/3,"# 获取涡轮机2的当前位置
turbine2_position = aw.get_position(""turbine2"")

# 计算无人机应该飞到的位置
# X轴负方向12米：turbine2_position[0] - 12
# Y轴保持不变：turbine2_position[1]
# 高度50米：50
target_position = [turbine2_position[0] - 12, turbine2_position[1], 50]

# 控制无人机飞到目标位置
aw.fly_to(target_position)
",✅,✅,21.38
单点导航,DeepSeek,2/3,"# 获取涡轮机2的位置
turbine2_position = aw.get_position(""turbine2"")

# 计算无人机应该飞到的位置
# 沿 X 轴负方向保持 12 米距离，所以 X 坐标减去 12
# 高度达到 50 米，所以 Z 坐标设置为 50
target_position = [turbine2_position[0] - 12, turbine2_position[1], 50]

# 让无人机飞到目标位置
aw.fly_to(target_position)
",✅,✅,22.77
单点导航,DeepSeek,3/3,"# 获取涡轮机2的当前位置
turbine2_position = aw.get_position(""turbine2"")

# 计算无人机应该飞到的目标位置
# X轴负方向12米：turbine2_position[0] - 12
# Y轴保持不变：turbine2_position[1]
# 高度为50米：50
target_position = [turbine2_position[0] - 12, turbine2_position[1], 50]

# 控制无人机飞到目标位置
aw.fly_to(target_position)
",✅,✅,23.05
单点导航,DeepSeek,平均值,平均响应时间: 22.4s | 成功率: 100.0%,-,-,22.4
路径规划,DeepSeek,1/3,"# 获取每个塔的坐标
tower3_pos = aw.get_position(""tower3"")
tower2_pos = aw.get_position(""tower2"")
tower1_pos = aw.get_position(""tower1"")

# 计算无人机应该飞行的路径点
# 与塔沿 X 轴负方向保持 10 米距离，高度为 50 米
path = [
    [tower3_pos[0] - 10, tower3_pos[1], 50],  # 绕 tower3
    [tower2_pos[0] - 10, tower2_pos[1], 50],  # 绕 tower2
    [tower1_pos[0] - 10, tower1_pos[1], 50]   # 绕 tower1
]

# 起飞
aw.takeoff()

# 沿着路径飞行
aw.fly_path(path)

# 降落
aw.land()
",✅,✅,29.37
路径规划,DeepSeek,2/3,"# 获取每个塔的坐标
tower3_pos = aw.get_position(""tower3"")
tower2_pos = aw.get_position(""tower2"")
tower1_pos = aw.get_position(""tower1"")

# 计算无人机应该飞行的路径点
# 保持高度为 50 米，并且与塔沿 X 轴负方向保持 10 米的距离
path_point1 = [tower3_pos[0] - 10, tower3_pos[1], 50]  # 绕 tower3
path_point2 = [tower2_pos[0] - 10, tower2_pos[1], 50]  # 绕 tower2
path_point3 = [tower1_pos[0] - 10, tower1_pos[1], 50]  # 绕 tower1

# 将路径点组合成一个列表
path = [path_point1, path_point2, path_point3]

# 让无人机起飞
aw.takeoff()

# 让无人机沿着路径飞行
aw.fly_path(path)

# 让无人机降落
aw.land()
",✅,✅,28.71
